"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"23.03.2022","171,28","168,07","171,60","167,68","36,45M","1,46%"
"22.03.2022","168,82","165,51","169,42","164,91","80,94M","2,08%"
"21.03.2022","165,38","163,51","166,35","163,01","95,81M","0,85%"
"18.03.2022","163,98","160,51","164,48","159,76","123,51M","2,09%"
"17.03.2022","160,62","158,61","161,00","157,63","75,33M","0,65%"
"16.03.2022","159,59","157,05","160,00","154,46","101,04M","2,90%"
"15.03.2022","155,09","150,90","155,57","150,38","91,85M","2,97%"
"14.03.2022","150,62","151,45","154,12","150,10","108,73M","-2,66%"
"11.03.2022","154,73","158,93","159,28","154,50","96,97M","-2,39%"
"10.03.2022","158,52","160,20","160,39","155,98","100,47M","-2,72%"
"09.03.2022","162,95","161,48","163,41","159,41","89,83M","3,50%"
"08.03.2022","157,44","158,82","162,88","155,80","129,91M","-1,17%"
"07.03.2022","159,30","163,36","165,02","159,04","95,88M","-2,37%"
"04.03.2022","163,17","164,49","165,55","162,10","83,82M","-1,84%"
"03.03.2022","166,23","168,47","168,91","165,55","75,29M","-0,20%"
"02.03.2022","166,56","164,39","167,36","162,95","79,51M","2,06%"
"01.03.2022","163,20","164,70","166,60","161,97","83,19M","-1,16%"
"28.02.2022","165,12","163,06","165,42","162,43","92,55M","0,16%"
"25.02.2022","164,85","163,84","165,12","160,87","91,97M","1,30%"
"24.02.2022","162,74","152,58","162,85","152,00","140,17M","1,67%"
"23.02.2022","160,07","165,54","166,15","159,75","88,50M","-2,59%"